clearance_mm,pixel_noise_std,trial_idx,success,reason,true_offset_mm,vision_error_mm,spiral_iters,insert_iters,insertion_depth_mm,tilt_deg,xy_error_mm,max_contact_force
1.0,8.0,7,True,inserted,11.443723621179858,18.39245155946546,48,21,28.832958078699015,0.4459272070099067,1.3736224515510407,361.3687987777046
1.0,8.0,8,False,spiral_exhausted,15.564970312097373,54.541115827249726,220,,1.071861386954545,5.736155663312146,,
1.0,8.0,9,False,spiral_exhausted,14.853666708082288,41.7532221549366,220,,0.02848199134885404,1.4280414248080686,,
1.0,8.0,10,False,spiral_exhausted,10.637961650371533,10.422111039934265,220,,0.24032862163015506,3.663588439071419,,
1.0,8.0,11,True,inserted,14.78425509046604,7.267365164048222,1,13,28.961518828997086,0.6372812991259422,1.498984371753451,380.4364694909822
1.0,8.0,12,False,spiral_exhausted,13.215000945950608,9.942141923199202,220,,0.31487368370560626,3.6383097916147205,,
1.0,8.0,13,True,inserted,8.214860557636937,39.97790487027953,183,32,28.160945282837343,3.3353590871631424,2.417500169728327,393.2742124791756
1.0,8.0,14,False,spiral_exhausted,10.468325171218982,40.033695192729844,220,,0.0,0.29777630244549663,,
1.0,12.0,0,True,inserted,2.9859525851532647,44.26710885566884,170,24,28.003655466020238,0.993297861115068,1.9101524620518402,374.39124181134633
1.0,12.0,1,False,spiral_exhausted,9.209255014900565,42.51450262329087,220,,0.04004764538357436,0.5198152957410708,,
1.0,12.0,2,True,inserted,19.00311554946105,20.14543591684092,41,21,27.93928691586487,1.4324823249758958,1.9598705951585602,427.17119308524326
1.0,12.0,3,False,spiral_exhausted,14.961837139516716,56.35694584987713,220,,0.4113731563877912,3.528851069256946,,
1.0,12.0,4,False,jammed,14.599083653534194,117.82424117424681,1,39,30.28243963219368,1.9380814489927398,,0.0
1.0,12.0,5,False,spiral_exhausted,10.823563462234958,22.35011132890988,220,,0.02052975806959151,0.18060025685195144,,
1.0,12.0,6,True,inserted,9.43903683686421,11.71002309405786,19,23,28.91566140298215,0.7438220777203733,1.7769099501815293,399.7457832107984
1.0,12.0,7,False,timeout,14.207715144151567,43.95107570601805,211,220,30.259178468342174,1.8712045702634348,,0.0
1.0,12.0,8,False,spiral_exhausted,7.322924423864196,25.604467099228195,220,,0.018349948293069906,0.6748869017860795,,
1.0,12.0,9,True,inserted,10.248925321135422,15.26941384729522,1,19,28.541378098617802,0.44817720167567254,1.0663055948806304,377.5899737876253
1.0,12.0,10,False,spiral_exhausted,14.101834342600515,37.05890078985079,220,,0.05805852315168836,0.7947580732949708,,
